SMILES,measured log(solubility:mol/L)
OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0.79
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,0.79
OC[C@@H]1O[C@](CO)(O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,0.79
CN1C[C@@H]2C[C@@H](C1)C3=CC=CC(=O)N3C2,0.65
CN1CC2CC(C1)C1=CC=CC(=O)N1C2,0.65
NCCNCCNCCN.NCCN(CCN)CCN,0.53
CN(C)C(=O)C1=C(C=CC=C1)C(=O)N(C)C,0.51
CN(C)C(=O)C1=CC(=CC=C1)C(=O)N(C)C,0.49
OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0.47
OCC1OC(OCC(O)C(O)C(O)C(O)C=O)C(O)C(O)C1O,0.47
OC1=CC2=C(C=C1)S(=O)(=O)C1=CC=CC=C1S2(=O)=O,0.42
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.36
OCC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(=O)CO,0.35
OC[C@H]1O[C@](O)(CO)[C@@H](O)C1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O,0.35
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0.35
O=P(N1CCOCC1)(N1CCOCC1)N1CCOCC1,0.3
CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,0.3
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O)[C@H](O)CO,0.29
OCC(O)C(O)C(O)C(O)COC1C(O)C(O)C(O)OC1CO,0.29
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.29
CN(C)C(=O)C1=CC=C(C=C1)C(=O)N(C)C,0.27
CCOC(CNCC(OCC)OCC)OCC,0.13
CC1N(C)CN2C1=NC1=C(C=CC=C1)C2=O,0.03
OCC1OC2(COC3(CO2)OC(CO)C(O)C3O)C(O)C1O,-0.01
OC[C@H]1OC2(COC3(CO2)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H]1O,-0.01
SP(=S)(OC1=CC=CC=C1)OC1=CC=CC=C1,-0.07
CC(O)(CO)C(O)C12NC(=O)C(O)(NC1=O)C(=C)CCO2,-0.2
CC(O)(CO)C(O)[C@@]12NC(=O)[C@@](O)(NC1=O)C(=C)CCO2,-0.2
OC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](O)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1O,-0.24
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,-0.38
OS(=O)(=O)C1=CC2=C(OC3=C2C=CC=C3)C=C1,-0.47
