name,SMILES
Acebutolol,CC(C)NCC(O)COC1=C(C(C)=O)C=C(NC(CCC)=O)C=C1
Amoxicillin,O=C(O)[C@H]1C(C)(C)S[C@@H](N21)[C@H](NC([C@@H](C3=CC=C(O)C=C3)N)=O)C2=O
Bendroflumethiazide,O=S1(C2=CC(S(N)(=O)=O)=C(C(F)(F)F)C=C2NC(CC3=CC=CC=C3)N1)=O
Benzocaine,NC1=CC=C(C(OCC)=O)C=C1
Benzthiazide,O=S1(C2=CC(S(N)(=O)=O)=C(Cl)C=C2N=C(CSCC3=CC=CC=C3)N1)=O
2-chloromandelic_acid,OC(C(O)C1=CC=CC=C1Cl)=O
Clozapine,ClC(C=C1)=CC2=C1NC(C=CC=C3)=C3C(N4CCN(C)CC4)=N2
Dibucaine,CCN(CC)CCNC(C1=C(C=CC=C2)C2=NC(OCCCC)=C1)=O
Diethylstilbestrol,CC/C(C1=CC=C(O)C=C1)=C(C2=CC=C(O)C=C2)/CC
Diflunisal,FC(C=C1F)=CC=C1C2=CC=C(O)C(C(O)=O)=C2
Dipyridamole,OCCN(CCO)C1=NC2=C(N3CCCCC3)N=C(N(CCO)CCO)N=C2C(N4CCCCC4)=N1
Ephedrine,CN[C@H](C)[C@@H](O)C1=CC=CC=C1
Folic_Acid,OC([C@H](CCC(O)=O)NC(C(C=C1)=CC=C1NCC2=NC3=C(O)N=C(N)N=C3N=C2)=O)=O
Furosemide,OC(C1=CC(S(N)(=O)=O)=C(Cl)C=C1NCC2=CC=CO2)=O
Hydrochlorothiazide,O=S1(C2=CC(S(N)(=O)=O)=C(Cl)C=C2NCN1)=O
Imipramine,CN(C)CCCN1C2=C(C=CC=C2)CCC3=C1C=CC=C3
Indomethacin,COC1=CC=C2C(C(CC(O)=O)=C(C)N2C(C3=CC=C(Cl)C=C3)=O)=C1
Ketoprofen,O=C(C1=CC=CC=C1)C2=CC=CC(C(C(O)=O)C)=C2
Lidocaine,CCN(CC)CC(NC1=C(C)C=CC=C1C)=O
Marbofloxacin,OC(C1=CN(N(C)CO2)C3=C2C(N4CCN(C)CC4)=C(F)C=C3C1=O)=O
Meclofenamic_acid,ClC(C=CC(C)=C1Cl)=C1NC2=CC=CC=C2C(O)=O
Naphthoic_acid,OC(C1=CC2=CC=CC=C2C=C1)=O
Probenecid,CN[C@@H](C)[C@H](O)C1=CC=CC=C1
Pseudoephedrine,OC(C1=CC=C(S(N(CCC)CCC)(=O)=O)C=C1)=O
Pyrimethamine,ClC(C=C1)=CC=C1C2=C(CC)N=C(N)N=C2N
Salicylic_acid,OC(C1=CC=CC=C1O)=O
Sulfamerazine,NC1=CC=C(S(NC2=NC(C)=CC=N2)(=O)=O)C=C1
Sulfamethizole,NC1=CC=C(S(NC2=NN=C(C)S2)(=O)=O)C=C1
Terfenadine,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3CCN(CCCC(O)C4=CC=C(C(C)(C)C)C=C4)CC3
Thiabendazole,C12=CC=CC=C1NC(C3=CSC=N3)=N2
Tolbutamide,CC1=CC=C(S(NC(NCCCC)=O)(=O)=O)C=C1
Trazodone,ClC1=CC=CC(N2CCN(CCCN3C(N(C=CC=C4)C4=N3)=O)CC2)=C1
